,country_of_citizenship,country_being_visited,visa_requirements
0,djibouti,laos,evisa / visa on arrival
1,djibouti,albania,visa required
2,djibouti,chad,visa required
3,djibouti,benin,visa not required
4,djibouti,iceland,visa required
5,djibouti,vanuatu,visa required
6,djibouti,panama,visa required
7,djibouti,israel,visa required
8,djibouti,morocco,visa required
9,djibouti,united states,visa required
10,djibouti,timor-leste,visa on arrival
11,djibouti,costa rica,visa required
12,djibouti,italy,visa required
13,djibouti,saint vincent and the grenadines,visa not required
14,djibouti,nigeria,visa required
15,djibouti,el salvador,visa required
16,djibouti,armenia,visa required
17,djibouti,ecuador,visa not required
18,djibouti,poland,visa required
19,djibouti,mozambique,visa on arrival
20,djibouti,argentina,visa required
21,djibouti,syria,visa required
22,djibouti,finland,visa required
23,djibouti,austria,visa required
24,djibouti,sweden,visa required
25,djibouti,somalia,visa on arrival
26,djibouti,tajikistan,visa required
27,djibouti,mauritius,visa on arrival
28,djibouti,belarus,visa required
29,djibouti,chile,visa required
30,djibouti,central african republic,visa required
31,djibouti,tanzania,visa required
32,djibouti,cameroon,visa required
33,djibouti,nauru,visa required
34,djibouti,mali,visa required
35,djibouti,estonia,visa required
36,djibouti,trinidad and tobago,visa required
37,djibouti,malawi,visa required
38,djibouti,togo,visa not required
39,djibouti,hungary,visa required
40,djibouti,mexico,visa required
41,djibouti,tuvalu,visa on arrival
42,djibouti,egypt,visa required
43,djibouti,slovakia,visa required
44,djibouti,russia,visa required
45,djibouti,guinea,visa required
46,djibouti,bahamas,visa required
47,djibouti,uzbekistan,visa required
48,djibouti,peru,visa required
49,djibouti,malta,visa required
50,djibouti,angola,visa required
51,djibouti,andorra,visa required
52,djibouti,niger,visa required
53,djibouti,belize,visa required
54,djibouti,georgia,evisa
55,djibouti,papua new guinea,visa required
56,djibouti,bangladesh,visa on arrival
57,djibouti,portugal,visa required
58,djibouti,south africa,visa required
59,djibouti,colombia,visa required
60,djibouti,kuwait,visa required
61,djibouti,venezuela,visa required
62,djibouti,algeria,visa required
63,djibouti,republic of the congo,visa required
64,djibouti,jamaica,visa required
